time,x,y,yaw,vel_x,yaw_vel
3.62396240234375e-05,,,,,
0.008411169052124023,5.92213932949834e-05,-9.960739760974098e-07,1.3471867314195922e-06,,
0.042144775390625,5.9204389131986295e-05,-9.959706448792277e-07,1.3479228511309498e-06,,
0.07636737823486328,5.919889173944874e-05,-9.960839559750755e-07,1.3486944781283068e-06,,
0.11004877090454102,5.9199195008648024e-05,-9.9608001906263e-07,1.3494889750646077e-06,,
0.1442112922668457,5.920440407664498e-05,-9.960750086247049e-07,1.3504200974799615e-06,,
0.17899227142333984,5.921859301131088e-05,-9.960515101493892e-07,1.3514267739027365e-06,,
0.21344494819641113,5.924301702646839e-05,-9.960000391429162e-07,1.3524978023368638e-06,,
0.2473461627960205,5.9264142815751515e-05,-9.96088322845308e-07,1.3535791662139807e-06,,
0.2813746929168701,5.926500067696406e-05,-9.960524435339762e-07,1.354481542905851e-06,,
0.3158233165740967,5.9251754742536446e-05,-9.960783251444275e-07,1.3551300075712348e-06,,
0.3496711254119873,5.9247107904361936e-05,-9.961024788703416e-07,1.3559063744994348e-06,,
0.3840610980987549,5.9220327492103096e-05,-9.960602080675106e-07,1.3565069674056363e-06,,
0.41898036003112793,5.921138396896335e-05,-9.960027661180223e-07,1.3572253862698694e-06,,
0.4533209800720215,5.9213226671164684e-05,-9.960761059464252e-07,1.3581231757487382e-06,,
0.488384485244751,5.922367326472876e-05,-9.961209031595598e-07,1.3590789929552898e-06,,
0.5217926502227783,5.923862787280944e-05,-9.96114260893836e-07,1.3600405777479435e-06,,
0.5557236671447754,5.9259963334338125e-05,-9.960979872725249e-07,1.3610988937494237e-06,,
0.5900812149047852,5.927803556422052e-05,-9.96128314190457e-07,1.3622042561412923e-06,,
0.6237235069274902,5.92706878431746e-05,-9.96060344503008e-07,1.3629609270991733e-06,,
0.6584532260894775,5.926285004865116e-05,-9.961432038979769e-07,1.3636634482630793e-06,,
0.6922905445098877,5.925049680831279e-05,-9.960224958313066e-07,1.364366259784536e-06,,
0.726534366607666,5.925191891027528e-05,-9.960969391981198e-07,1.3652479173301183e-06,,
0.7602977752685547,5.926193783130916e-05,-9.961424009519938e-07,1.3662050531641994e-06,,
0.7954351902008057,5.927647142514713e-05,-9.96136353455938e-07,1.3671691199821143e-06,,
0.8286619186401367,5.9284049161781095e-05,-9.96041131816357e-07,1.3681509091497577e-06,,
0.862436056137085,5.9283647138985426e-05,-9.961529856513587e-07,1.3689842416646323e-06,,
0.8962910175323486,5.927569222520258e-05,-9.961682857145885e-07,1.3697264512603846e-06,,
0.930077075958252,5.92544064164374e-05,-9.961489612103174e-07,1.3703450294914521e-06,,
0.9647469520568848,5.9244655012523744e-05,-9.960585882350809e-07,1.3710795299047693e-06,,
0.9985589981079102,5.9245833046729146e-05,-9.96132400874236e-07,1.371956419438577e-06,,
1.0326063632965088,5.925561484593425e-05,-9.961774045658067e-07,1.3728963717709682e-06,,
1.067434549331665,5.9269908407735086e-05,-9.96170948804274e-07,1.3738619666949268e-06,,
1.1011269092559814,5.929058572811709e-05,-9.961548525972014e-07,1.3749166237667196e-06,,
1.135711908340454,5.931417075882512e-05,-9.96136513787229e-07,1.3760747389676925e-06,,
1.1703271865844727,5.931786032531289e-05,-9.961557875531774e-07,1.376940986594183e-06,,
1.2051301002502441,5.9321066500867736e-05,-9.961871942389802e-07,1.3777451773047407e-06,,
1.2384147644042969,5.929967969136305e-05,-9.961217745728095e-07,1.3784162551998564e-06,,
1.2725090980529785,5.9280366204085524e-05,-9.961906800039338e-07,1.3790292450034942e-06,,
1.3058624267578125,5.926761838095477e-05,-9.961754788293014e-07,1.3797188318520024e-06,,
1.3396518230438232,5.926520628278112e-05,-9.961323438583764e-07,1.3805791127272403e-06,,
1.3732738494873047,5.92733428799774e-05,-9.961304094548973e-07,1.3815401302938282e-06,,
1.4072015285491943,5.929192945488135e-05,-9.962163219200797e-07,1.3825560203237862e-06,,
1.4416048526763916,5.9316135042741135e-05,-9.962044719292721e-07,1.3836039086061043e-06,,
1.4755868911743164,5.932898404381297e-05,-9.961417627097113e-07,1.3846561108663689e-06,,
1.5096943378448486,5.933809332113843e-05,-9.962183822716802e-07,1.3855637244725335e-06,,
1.5437359809875488,5.933411452497782e-05,-9.962339784948647e-07,1.3863568096469738e-06,,
1.5774338245391846,5.93161660044894e-05,-9.96194706606233e-07,1.3869774838966214e-06,,
1.6116247177124023,5.930122350647074e-05,-9.962453329398578e-07,1.3877150709226646e-06,,
1.6464483737945557,5.928921865499578e-05,-9.96237390296419e-07,1.3883744943038232e-06,,
1.6798110008239746,5.9283710938680364e-05,-9.962295782813238e-07,1.3891819191359432e-06,,
1.7143898010253906,5.928849035249611e-05,-9.961975209712291e-07,1.3901169109596345e-06,,
1.748729944229126,5.9303550670604654e-05,-9.961343832922367e-07,1.3911082256313053e-06,,
1.7833797931671143,5.9329345429568874e-05,-9.962000047556858e-07,1.392213912376972e-06,,
1.817317247390747,5.935320752738902e-05,-9.96256248447946e-07,1.3932957796857514e-06,,
1.8517177104949951,5.93668141146448e-05,-9.962562722079257e-07,1.394341995678393e-06,,
1.8859460353851318,5.9359219271761974e-05,-9.962106206209172e-07,1.3950408009423085e-06,,
1.9202678203582764,5.935251959423075e-05,-9.96265902819063e-07,1.3957730012653274e-06,,
1.9581820964813232,5.932711481067668e-05,-9.96190334288018e-07,1.3964173446255011e-06,,
